14.05.2019 9:10;Comets;Pekka;Pelastus B
14.05.2019 9:40;TevaRobots;Jens;Pelastus A
14.05.2019 9:50;Ambu;Jens;Pelastus A
14.05.2019 10:00;Pelastus Team;Jens;Pelastus A
14.05.2019 10:10;Team SiNiMa;Jens;Pelastus A
14.05.2019 10:20;Nuufa;Jens;Pelastus A
14.05.2019 10:30;Aha-tiim;Jens;Pelastus A
14.05.2019 10:40;SandWich SSA;Jens;Pelastus A
14.05.2019 10:50;TiiTaavit;Jens;Pelastus A
14.05.2019 11:00;Destroyer;Jens;Pelastus A
14.05.2019 11:10;CoderKing;Jens;Pelastus A
14.05.2019 11:20;Nimettömät;Jens;Pelastus A
14.05.2019 11:30;Palomiehet;Jens;Pelastus A
14.05.2019 11:40;Gopnik squad;Jens;Pelastus A
14.05.2019 11:50;Marsmallows;Jens;Pelastus A