TevaRobots;Tevaniemen koulu, Ikaalinen
Ambu;Joensuun Steinerkoulu
Pelastus Team;Kempeleen Kirkonkylän koulu
Team SiNiMa;Kylmäojan koulun teknologiakerho, Kontiolahti
Nuufa;Kontiolahden teknologiakerho
Aha-tiim;Naukion yhtenäiskoulu, Kuusankoski
SandWich SSA;Ojaniitun koulu, Lohja
TiiTaavit;Mäntynummen yhtenäiskoulu, Lohja
Destroyer;Muijalan koulu, Lohjan kaupunki
CoderKing;Ounasrinteen koulu, Rovaniemi
Nimettömät;Ounasrinteen koulu, Rovaniemi
Palomiehet;Saaren koulu, Rovaniemi
Gopnik squad;Armfeltin koulu, Salo
Marsmallows;Turku International School
Comets;Turku International School