Friisi johtoa;Friisilän koulu, Espoo
Hogwarts Robot;Rajakylän koulu, Oulu
Hoksojat;Lemin koulukeskus
KRG;Friisilän koulu, Espoo
Lentävät Lehmät;Ounasrinteen koulu, Rovaniemi
Minions;Joutsenon koulu, LPR
Muffinsit;Koulumestari, Espoo
Mymmelit;Ounasrinteen koulu, Rovaniemi
Pink Boss;Roution koulu, Lohja
T-squad;Solbrinkens Skola, Lohja
Tanssibotti 2020;Joensuun Steinerkoulu
Tuikkivat tähdet;Saaren koulu, Rovaniemi
Tähtipelaajat;Koulumestari, Espoo
VoKon koirakoulu;Voikkaan koulu, Kouvola
Väripläjäys;Kempeleen Kirkonkylän koulu
Yksisarvinen;Alanurmon koulu, Lapua
Rainbows;Zachariasskolan, Uusikarlepyy
Emerald;Kontiolahden teknologiakerho
Floppi;Harjunrinteen koulu, Riihimäki
Riksun Poket;Harjunrinteen koulu, Riihimäki
Team Unicorn;Koulumestarin koulu, Espoo
The Bears;Roution koulu, Lohja
Yllättäviä käänteitä;Vanttilan koulu, Espoo